Fichero Partido,Género Partido,Fase Partido,ID Partido,Ronda Partido,Flag Exento Partido,Torneo,Tipo Torneo
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_1,1/16 Final,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_2,1/16 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_3,1/16 Final,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_4,1/16 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_5,1/16 Final,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_6,1/16 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_7,1/16 Final,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_8,1/16 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_9,1/16 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_10,1/16 Final,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_11,1/16 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_12,1/16 Final,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_13,1/16 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_14,1/16 Final,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_15,1/16 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_16,1/16 Final,1,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_17,1/8 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_18,1/8 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_19,1/8 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_20,1/8 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_21,1/8 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_22,1/8 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_23,1/8 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_24,1/8 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_25,1/4 Final,0,CHALLENGER BARCELONA,CHALLENGER
WPT_FMT_CHBCN_2015_M_CUADRO.txt,M,CUADRO,CHBCN_2015_M_CUADRO_26,1/4 Final,0,CHALLENGER BARCELONA,CHALLENGER
